==23589== NVPROF is profiling process 23589, command: ./bin/fargoGPU in/hd100.par
==23589== Profiling application: ./bin/fargoGPU in/hd100.par
==23589== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
329.47ms  98.047us                    -               -         -         -         -  8.0078MB  79.759GB/s  Quadro M4000 (0         1         7  [CUDA memset]
329.58ms  97.918us                    -               -         -         -         -  8.0078MB  79.864GB/s  Quadro M4000 (0         1         7  [CUDA memset]
329.68ms  97.855us                    -               -         -         -         -  8.0078MB  79.915GB/s  Quadro M4000 (0         1         7  [CUDA memset]
337.33ms  98.142us                    -               -         -         -         -  8.0078MB  79.682GB/s  Quadro M4000 (0         1         7  [CUDA memset]
337.43ms  97.887us                    -               -         -         -         -  8.0078MB  79.889GB/s  Quadro M4000 (0         1         7  [CUDA memset]
337.53ms  97.887us                    -               -         -         -         -  8.0078MB  79.889GB/s  Quadro M4000 (0         1         7  [CUDA memset]
337.63ms  97.983us                    -               -         -         -         -  8.0078MB  79.811GB/s  Quadro M4000 (0         1         7  [CUDA memset]
337.73ms  97.887us                    -               -         -         -         -  8.0078MB  79.889GB/s  Quadro M4000 (0         1         7  [CUDA memset]
337.84ms  97.950us                    -               -         -         -         -  8.0078MB  79.838GB/s  Quadro M4000 (0         1         7  [CUDA memset]
337.94ms  97.919us                    -               -         -         -         -  8.0078MB  79.863GB/s  Quadro M4000 (0         1         7  [CUDA memset]
338.04ms  98.302us                    -               -         -         -         -  8.0078MB  79.552GB/s  Quadro M4000 (0         1         7  [CUDA memset]
338.14ms  98.207us                    -               -         -         -         -  8.0078MB  79.629GB/s  Quadro M4000 (0         1         7  [CUDA memset]
338.24ms  97.886us                    -               -         -         -         -  8.0078MB  79.890GB/s  Quadro M4000 (0         1         7  [CUDA memset]
338.34ms  97.855us                    -               -         -         -         -  8.0078MB  79.915GB/s  Quadro M4000 (0         1         7  [CUDA memset]
338.46ms  1.7600us                    -               -         -         -         -  4.0039KB  2.1696GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
339.47ms  98.047us                    -               -         -         -         -  8.0078MB  79.759GB/s  Quadro M4000 (0         1         7  [CUDA memset]
339.48ms     742ns                    -               -         -         -         -  4.0039KB  5.1461GB/s  Quadro M4000 (0         1         7  [CUDA memset]
339.57ms  97.887us                    -               -         -         -         -  8.0078MB  79.889GB/s  Quadro M4000 (0         1         7  [CUDA memset]
339.98ms  2.7230ms                    -               -         -         -         -  8.0078MB  2.8718GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
343.74ms  307.39us          (128 128 1)       (16 16 1)        13        0B        0B         -           -  Quadro M4000 (0         1         7  InitComputeAccelKernel(float*, float*, float*, int, int, float*, float*) [396]
344.08ms  809.59us          (128 128 1)       (16 16 1)        21        0B        0B         -           -  Quadro M4000 (0         1         7  ComputeSoundSpeedKernel(float*, float*, float*, float*, int, int, int, float, float, float, float, float, float, float, float, float) [415]
344.92ms  376.83us          (128 128 1)       (16 16 1)        10        0B        0B         -           -  Quadro M4000 (0         1         7  ComputePressureFieldKernel(float*, float*, float*, int, int, int, float, float*) [426]
345.32ms  756.41us          (128 128 1)       (16 16 1)        21        0B        0B         -           -  Quadro M4000 (0         1         7  ComputeTemperatureFieldKernel(float*, float*, float*, float*, float, int, int, int) [437]
346.10ms  119.62us                    -               -         -         -         -  8.0078MB  65.377GB/s  Quadro M4000 (0         1         7  [CUDA memcpy DtoD]
346.23ms  694.65us              (8 1 1)       (256 1 1)        12        0B        0B         -           -  Quadro M4000 (0         1         7  Make1DprofileKernel(float*, float*, int, int) [445]
346.94ms  3.4880us                    -               -         -         -         -  4.0000KB  1.0937GB/s  Quadro M4000 (0         1         7  [CUDA memcpy DtoH]
348.28ms  1.7600us                    -               -         -         -         -  4.0039KB  2.1696GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
348.30ms  3.2085ms          (128 128 1)       (16 16 1)        30        0B        0B         -           -  Quadro M4000 (0         1         7  InitGasVelocitiesKernel(int, int, int, float*, float, float, float, float*, float*, float, float, float*, float, float*, int, float*) [466]
351.53ms  348.35us          (128 128 1)       (16 16 1)        18        0B        0B         -           -  Quadro M4000 (0         1         7  InitLabelKernel(float*, float, float, float, float*, int, int) [476]
